product_category_name,product_category_name_english
Beleza_Saude,Health_Beauty
Informatica_Acessorios,Computers_Accessories
Automotivo,Auto
Cama_Mesa_Banho,Bed_Bath_Table
Moveis_Decoracao,Furniture_Decor
Esporte_Lazer,Sports_Leisure
Perfumaria,Perfumery
Utilidades_Domesticas,Housewares
Telefonia,Telephony
Relogios_Presentes,Watches_Gifts
Alimentos_Bebidas,Food_Drink
Bebes,Baby
Papelaria,Stationery
Tablets_Impressao_Imagem,Tablets_Printing_Image
Brinquedos,Toys
Telefonia_Fixa,Fixed_Telephony
Ferramentas_Jardim,Garden_Tools
Fashion_Bolsas_E_Acessorios,Fashion_Bags_Accessories
Eletroportateis,Small_Appliances
Consoles_Games,Consoles_Games
Audio,Audio
Fashion_Calcados,Fashion_Shoes
Cool_Stuff,Cool_Stuff
Malas_Acessorios,Luggage_Accessories
Climatizacao,Air_Conditioning
Construcao_Ferramentas_Construcao,Construction_Tools_Construction
Moveis_Cozinha_Area_De_Servico_Jantar_E_Jardim,Kitchen_Dining_Laundry_Garden_Furniture
Construcao_Ferramentas_Jardim,Costruction_Tools_Garden
Fashion_Roupa_Masculina,Fashion_Male_Clothing
Pet_Shop,Pet_Shop
Moveis_Escritorio,Office_Furniture
Market_Place,Market_Place
Eletronicos,Electronics
Eletrodomesticos,Home_Appliances
Artigos_De_Festas,Party_Supplies
Casa_Conforto,Home_Confort
Construcao_Ferramentas_Ferramentas,Costruction_Tools_Tools
Agro_Industria_E_Comercio,Agro_Industry_And_Commerce
Moveis_Colchao_E_Estofado,Furniture_Mattress_And_Upholstery
Livros_Tecnicos,Books_Technical
Casa_Construcao,Home_Construction
Instrumentos_Musicais,Musical_Instruments
Moveis_Sala,Furniture_Living_Room
Construcao_Ferramentas_Iluminacao,Construction_Tools_Lights
Industria_Comercio_E_Negocios,Industry_Commerce_And_Business
Alimentos,Food
Artes,Art
Moveis_Quarto,Furniture_Bedroom
Livros_Interesse_Geral,Books_General_Interest
Construcao_Ferramentas_Seguranca,Construction_Tools_Safety
Fashion_Underwear_E_Moda_Praia,Fashion_Underwear_Beach
Fashion_Esporte,Fashion_Sport
Sinalizacao_E_Seguranca,Signaling_And_Security
Pcs,Computers
Artigos_De_Natal,Christmas_Supplies
Fashion_Roupa_Feminina,Fashio_Female_Clothing
Eletrodomesticos_2,Home_Appliances_2
Livros_Importados,Books_Imported
Bebidas,Drinks
Cine_Foto,Cine_Photo
La_Cuisine,La_Cuisine
Musica,Music
Casa_Conforto_2,Home_Comfort_2
Portateis_Casa_Forno_E_Cafe,Small_Appliances_Home_Oven_And_Coffee
Cds_Dvds_Musicais,Cds_Dvds_Musicals
Dvds_Blu_Ray,Dvds_Blu_Ray
Flores,Flowers
Artes_E_Artesanato,Arts_And_Craftmanship
Fraldas_Higiene,Diapers_And_Hygiene
Fashion_Roupa_Infanto_Juvenil,Fashion_Childrens_Clothes
Seguros_E_Servicos,Security_And_Services
